
 Shear/q and Bending Moment/q vs Y
  Configuration: Wing                                                        
  Mach  =    0.809
  alpha =   -3.697    CLtot =    0.509
  beta  =    0.000

  Sref  =   378.88199
  Bref  =    60.30000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =   0.
     2Ymax/Bref =   1.
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.253040         0.533500E-01
    0.0338  0.241255         0.491552E-01
    0.1015  0.217881         0.413624E-01
    0.1692  0.195084         0.343533E-01
    0.2368  0.173243         0.281017E-01
    0.3071  0.151758         0.223706E-01
    0.3800  0.130479         0.172068E-01
    0.4530  0.110013         0.128067E-01
    0.5259  0.904851E-01     0.913841E-02
    0.5989  0.720409E-01     0.616484E-02
    0.6718  0.548277E-01     0.384366E-02
    0.7447  0.389987E-01     0.212701E-02
    0.8177  0.247288E-01     0.961058E-03
    0.8906  0.122678E-01     0.284169E-03
    0.9635  0.217598E-02     0.199059E-04
    1.0000   0.00000          0.00000    
   
 Surface:   2  
MainWing (YDUP)                         
     2Ymin/Bref =  -1.
     2Ymax/Bref =   0.
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.253040        -0.533500E-01
   -0.0338  0.241255        -0.491552E-01
   -0.1015  0.217881        -0.413624E-01
   -0.1692  0.195084        -0.343533E-01
   -0.2368  0.173243        -0.281017E-01
   -0.3071  0.151758        -0.223706E-01
   -0.3800  0.130479        -0.172068E-01
   -0.4530  0.110013        -0.128067E-01
   -0.5259  0.904851E-01    -0.913841E-02
   -0.5989  0.720408E-01    -0.616484E-02
   -0.6718  0.548277E-01    -0.384366E-02
   -0.7447  0.389987E-01    -0.212701E-02
   -0.8177  0.247288E-01    -0.961058E-03
   -0.8906  0.122678E-01    -0.284169E-03
   -0.9635  0.217598E-02    -0.199059E-04
   -1.0000   0.00000          0.00000    
