Iter | Func-count | Fval          | Feasibility | Step Length | Norm of step | First-order optimality | Mach     | Alt      | W_Fuel   | Span     | Kink Chord  | LE Sweep  | Outer Taper  | FTank Eta  | Front Spar  | Rear Spar  | Au CST 1  | Au CST 2  | Au CST 3  | Au CST 4  | Au CST 5  | Al CST 1  | Al CST 2  | Al CST 3  | Al CST 4  | Al CST 5 
   0 |         21 | -8.415516e+06 |   0.000e+00 |   0.000e+00 | 2.288e+07 |  | 0.8093 | 11887.2000 | 694410.6600 | 60.3000 | 7.6931 | 0.5585 | 0.2860 | 0.8499 | 0.2000 | 0.7500 | 0.1459 | 0.1809 | 0.1075 | 0.2600 | 0.2516 | -0.2034 | 0.0091 | -0.3087 | 0.0758 | 0.0643
   1 |         51 | -8.583356e+06 |   0.000e+00 |   8.543e-02 | 1.086e+07 |  | 0.8060 | 11935.1691 | 694410.6600 | 59.8133 | 7.5379 | 0.5677 | 0.2785 | 0.8499 | 0.2000 | 0.7500 | 0.0997 | 0.1332 | 0.1435 | 0.2899 | 0.2818 | -0.1548 | 0.0491 | -0.2559 | 0.1131 | 0.1021
   2 |         82 | -8.685359e+06 |   0.000e+00 |   5.440e-02 | 3.991e+07 |  | 0.8038 | 11967.3925 | 694410.6600 | 59.9598 | 7.4336 | 0.5738 | 0.2734 | 0.8499 | 0.2000 | 0.7500 | 0.0686 | 0.1290 | 0.1112 | 0.2534 | 0.3021 | -0.1787 | 0.0759 | -0.2204 | 0.1381 | 0.1274
   3 |        119 | -8.691375e+06 |   0.000e+00 |   6.611e-03 | 7.826e+06 |  | 0.8036 | 11971.0765 | 694410.6600 | 59.9766 | 7.4217 | 0.5740 | 0.2758 | 0.8499 | 0.2000 | 0.7500 | 0.0650 | 0.1319 | 0.1075 | 0.2493 | 0.3044 | -0.1814 | 0.0790 | -0.2164 | 0.1410 | 0.1303
   4 |        156 | -8.697150e+06 |   0.000e+00 |   6.425e-03 | 2.202e+07 |  | 0.8033 | 11974.7482 | 694410.6600 | 59.9933 | 7.4098 | 0.5735 | 0.2782 | 0.8499 | 0.2000 | 0.7500 | 0.0626 | 0.1348 | 0.1105 | 0.2518 | 0.3067 | -0.1775 | 0.0821 | -0.2123 | 0.1439 | 0.1332
   5 |        201 | -8.698032e+06 |   0.000e+00 |   3.512e-04 | 3.699e+07 |  | 0.8033 | 11974.9592 | 694410.6600 | 59.9942 | 7.4106 | 0.5735 | 0.2784 | 0.8499 | 0.2000 | 0.7500 | 0.0627 | 0.1350 | 0.1107 | 0.2519 | 0.3069 | -0.1775 | 0.0823 | -0.2121 | 0.1440 | 0.1334
   6 |        239 | -8.700684e+06 |   0.000e+00 |   4.476e-03 | 1.702e+07 |  | 0.8031 | 11977.5203 | 694410.6600 | 60.0059 | 7.4023 | 0.5732 | 0.2801 | 0.8499 | 0.2000 | 0.7500 | 0.0612 | 0.1370 | 0.1127 | 0.2536 | 0.3085 | -0.1748 | 0.0844 | -0.2139 | 0.1414 | 0.1307
   7 |        277 | -8.718445e+06 |   0.000e+00 |   4.467e-03 | 3.180e+07 |  | 0.8029 | 11980.0756 | 694410.6600 | 60.0175 | 7.4120 | 0.5735 | 0.2817 | 0.8499 | 0.2000 | 0.7500 | 0.0587 | 0.1390 | 0.1101 | 0.2554 | 0.3101 | -0.1767 | 0.0865 | -0.2157 | 0.1394 | 0.1281
   8 |        305 | -8.720098e+06 |   0.000e+00 |   1.330e-01 | 7.755e+06 |  | 0.7968 | 12014.0562 | 694410.6600 | 60.4278 | 7.1183 | 0.5687 | 0.2668 | 0.8499 | 0.2000 | 0.7500 | 0.1362 | 0.2099 | 0.0745 | 0.3167 | 0.3669 | -0.2445 | 0.1617 | -0.2803 | 0.0456 | 0.0352
   9 |        334 | -9.014012e+06 |   0.000e+00 |   1.141e-01 | 3.782e+07 |  | 0.7929 | 12042.6435 | 694410.6600 | 60.6914 | 7.3732 | 0.5756 | 0.2572 | 0.8499 | 0.2000 | 0.7500 | 0.0707 | 0.1401 | 0.1278 | 0.2408 | 0.2881 | -0.1728 | 0.2101 | -0.2065 | 0.0442 | -0.0245
  10 |        374 | -9.014851e+06 |   0.000e+00 |   2.117e-03 | 2.033e+07 |  | 0.7928 | 12041.1113 | 694410.6600 | 60.6963 | 7.3692 | 0.5759 | 0.2570 | 0.8499 | 0.2000 | 0.7500 | 0.0697 | 0.1388 | 0.1288 | 0.2394 | 0.2866 | -0.1729 | 0.2110 | -0.2051 | 0.0453 | -0.0251
  11 |        423 | -9.014875e+06 |   0.000e+00 |   8.430e-05 | 1.617e+07 |  | 0.7928 | 12041.0495 | 694410.6600 | 60.6961 | 7.3690 | 0.5759 | 0.2570 | 0.8499 | 0.2000 | 0.7500 | 0.0697 | 0.1388 | 0.1288 | 0.2393 | 0.2866 | -0.1730 | 0.2110 | -0.2051 | 0.0453 | -0.0251
  12 |        459 | -9.017920e+06 |   0.000e+00 |   9.388e-03 | 1.378e+07 |  | 0.7925 | 12034.6756 | 694410.6600 | 60.6370 | 7.3523 | 0.5767 | 0.2562 | 0.8499 | 0.2000 | 0.7500 | 0.0690 | 0.1338 | 0.1235 | 0.2334 | 0.2891 | -0.1746 | 0.2053 | -0.1994 | 0.0403 | -0.0298
  13 |        490 | -9.051606e+06 |   0.000e+00 |   5.174e-02 | 4.482e+07 |  | 0.7907 | 12064.0882 | 694410.6600 | 60.7602 | 7.2533 | 0.5755 | 0.2729 | 0.8499 | 0.2000 | 0.7500 | 0.0913 | 0.1018 | 0.0918 | 0.2046 | 0.3092 | -0.1739 | 0.2277 | -0.1655 | 0.0110 | -0.0572
  14 |        522 | -9.063428e+06 |   0.000e+00 |   3.371e-02 | 2.711e+07 |  | 0.7894 | 12084.0954 | 694410.6600 | 60.8267 | 7.1859 | 0.5737 | 0.2873 | 0.8499 | 0.2000 | 0.7500 | 0.1060 | 0.1196 | 0.0702 | 0.2203 | 0.3229 | -0.1903 | 0.2430 | -0.1586 | 0.0207 | -0.0758
  15 |        552 | -9.139012e+06 |   0.000e+00 |   6.420e-02 | 5.280e+08 |  | 0.7870 | 12124.1191 | 694410.6600 | 60.9951 | 7.0512 | 0.5697 | 0.3063 | 0.8499 | 0.2000 | 0.7500 | 0.1313 | 0.1551 | 0.1077 | 0.2141 | 0.3502 | -0.1976 | 0.1928 | -0.1926 | 0.0602 | -0.1008
  16 |        581 | -9.191262e+06 |   0.000e+00 |   8.574e-02 | 6.462e+06 |  | 0.7836 | 12041.9338 | 694410.6600 | 61.2260 | 6.8664 | 0.5682 | 0.2944 | 0.8499 | 0.2000 | 0.7500 | 0.0762 | 0.2038 | 0.1591 | 0.1743 | 0.3877 | -0.1908 | 0.1897 | -0.2022 | 0.1144 | -0.0374
  17 |        616 | -9.192946e+06 |   0.000e+00 |   1.059e-02 | 2.020e+07 |  | 0.7832 | 12048.9466 | 694410.6600 | 61.2053 | 6.8459 | 0.5678 | 0.2931 | 0.8499 | 0.2000 | 0.7500 | 0.0736 | 0.1972 | 0.1648 | 0.1692 | 0.3918 | -0.1883 | 0.1952 | -0.1940 | 0.1068 | -0.0303
  18 |        646 | -9.212319e+06 |   0.000e+00 |   5.704e-02 | 8.437e+07 |  | 0.7810 | 12090.3886 | 694410.6600 | 61.3584 | 6.7249 | 0.5687 | 0.2853 | 0.8499 | 0.2000 | 0.7500 | 0.0706 | 0.1489 | 0.1541 | 0.1878 | 0.3663 | -0.1809 | 0.2277 | -0.1458 | 0.0621 | -0.0185
  19 |        693 | -9.212725e+06 |   0.000e+00 |   1.711e-04 | 1.140e+07 |  | 0.7810 | 12090.2580 | 694410.6600 | 61.3572 | 6.7246 | 0.5687 | 0.2853 | 0.8499 | 0.2000 | 0.7500 | 0.0705 | 0.1488 | 0.1541 | 0.1878 | 0.3663 | -0.1808 | 0.2277 | -0.1457 | 0.0622 | -0.0184
  20 |        727 | -9.221200e+06 |   0.000e+00 |   1.626e-02 | 1.495e+07 |  | 0.7805 | 12099.8080 | 694410.6600 | 61.2301 | 6.7330 | 0.5678 | 0.2922 | 0.8499 | 0.2000 | 0.7500 | 0.0723 | 0.1467 | 0.1623 | 0.1805 | 0.3724 | -0.1745 | 0.2352 | -0.1472 | 0.0713 | -0.0279
  21 |        757 | -9.276613e+06 |   0.000e+00 |   7.426e-02 | 1.304e+08 |  | 0.7837 | 12139.1976 | 694410.6600 | 60.7059 | 6.7910 | 0.5663 | 0.3208 | 0.8499 | 0.2000 | 0.7500 | 0.1097 | 0.1015 | 0.1961 | 0.1805 | 0.3657 | -0.1585 | 0.2647 | -0.1816 | 0.0281 | -0.0671
  22 |        813 | -9.276854e+06 |   0.000e+00 |   6.570e-06 | 1.364e+08 |  | 0.7837 | 12139.1921 | 694410.6600 | 60.7058 | 6.7910 | 0.5663 | 0.3208 | 0.8499 | 0.2000 | 0.7500 | 0.1097 | 0.1015 | 0.1961 | 0.1804 | 0.3657 | -0.1585 | 0.2647 | -0.1816 | 0.0281 | -0.0671
  23 |        851 | -9.276854e+06 |   0.000e+00 |   2.254e-06 | 1.332e+08 |  | 0.7837 | 12139.1921 | 694410.6600 | 60.7058 | 6.7910 | 0.5663 | 0.3208 | 0.8499 | 0.2000 | 0.7500 | 0.1097 | 0.1015 | 0.1961 | 0.1804 | 0.3657 | -0.1585 | 0.2647 | -0.1816 | 0.0281 | -0.0671
